profile_case,kernel_name_raw,kernel_family,invocations,avg_duration_ms,avg_compute_pct,avg_memory_pct,avg_l1tex_hit_pct,avg_l2_hit_pct,avg_achieved_occupancy_pct,avg_eligible_warps_per_scheduler,avg_no_eligible_pct,avg_warp_cycles_per_issued_inst,source_group,category,paper_keep_flag
darcy_large_on421_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::FillFunctor<float>, detail::Array<char *, 1>>(int, T2, T3) (23437, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,2,648.14,11.17,57.36,0.0,99.99,86.09,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], detail::Array<char *, 2>>(int, T2, T3) (23437, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,6,1.01,37.66,78.48,0.0,50.0,87.25,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void at::vectorized_elementwise_kernel<4, at::GeluCUDAKernelImpl(at::TensorIteratorBase &, at::GeluType)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], detail::Array<char *, 2>>(int, T2, T3) (44311, 1, 1)x(128, 1, 1)",vectorized_elementwise_kernel,2,1.99,44.29,74.92,0.0,50.0,87.71,,,,jetson_fno_profile_ncu_frontier,elementwise_fused,True
darcy_large_on421_ts_fp32_ncu,"void convert<0, 16>(double2 *, void *, unsigned long) (1, 1, 1)x(64, 1, 1)",convert,18,17.98,0.85,7.1,85.94,74.9,4.12,,,,jetson_fno_profile_ncu_frontier,other,True
darcy_large_on421_ts_fp32_ncu,"void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x128_16x3_nn_align1>(T1::Params) (8, 87, 1)x(256, 1, 1)",cutlass_kernel,2,2.15,23.81,64.01,66.76,84.04,16.61,,,,jetson_fno_profile_ncu_frontier,dense_math,True
darcy_large_on421_ts_fp32_ncu,"void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_tn_align4>(T1::Params) (2930, 1, 1)x(128, 1, 1)",cutlass_kernel,2,1.12,41.9,85.21,0.0,83.32,24.34,,,,jetson_fno_profile_ncu_frontier,dense_math,True
darcy_large_on421_ts_fp32_ncu,"void gemv2N_kernel<int, int, float, float, float, float, 128, 2, 4, 4, 1, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T13) (2770, 1, 1)x(128, 1, 1)",gemv2N_kernel,2,1.03,22.37,93.37,1.25,18.46,82.42,,,,jetson_fno_profile_ncu_frontier,dense_math,True
darcy_large_on421_ts_fp32_ncu,"void generate_chirp_signal<16>(double2 *, unsigned long, unsigned long) (1, 1, 1)x(28, 1, 1)",generate_chirp_signal,9,61.45,4.47,0.88,87.4,72.83,2.08,,,,jetson_fno_profile_ncu_frontier,other,True
darcy_large_on421_ts_fp32_ncu,"void kernel_wrapper<unsigned int, &packR2C_kernel_Odd_impl<unsigned int, float>>(RealComplex_st<T1>) (23437, 1, 1)x(256, 1, 1)",packR2C_kernel,12,1.44,25.84,78.54,14.69,45.54,85.93,,,,jetson_fno_profile_ncu_frontier,fft_transform,True
darcy_large_on421_ts_fp32_ncu,"void kernel_wrapper<unsigned int, &unpackC2R_kernel_Odd_impl<unsigned int, float>>(RealComplex_st<T1>) (23437, 1, 1)x(256, 1, 1)",unpackC2R_kernel,12,1.11,27.81,91.9,22.46,55.15,80.94,,,,jetson_fno_profile_ncu_frontier,fft_transform,True
darcy_large_on421_ts_fp32_ncu,"void postprocess_kernel<float, unsigned int, 2>(real_complex_args_t<T2>) (11746, 1, 1)x(256, 1, 1)",postprocess_kernel,12,1.0,23.1,91.56,12.82,52.64,86.14,,,,jetson_fno_profile_ncu_frontier,fft_transform,True
darcy_large_on421_ts_fp32_ncu,"void preprocess_kernel<float, unsigned int, 2>(real_complex_args_t<T2>) (23437, 1, 1)x(256, 1, 1)",preprocess_kernel,12,1.15,43.28,77.56,15.17,63.13,85.12,,,,jetson_fno_profile_ncu_frontier,fft_transform,True
darcy_large_on421_ts_fp32_ncu,"void regular_bluestein_fft<1024, EPT<16>, 2, 2, 6, 0, 2, 0, unsigned int, float>(kernel_arguments_blu_t<T9>) (6928, 1, 1)x(64, 2, 1)",regular_bluestein_fft,24,2.89,56.64,76.54,79.84,53.01,32.66,,,,jetson_fno_profile_ncu_frontier,fft_transform,True
darcy_large_on421_ts_fp32_ncu,"void regular_bluestein_fft<1024, EPT<16>, 2, 2, 6, 0, 2, 0, unsigned int, float>(kernel_arguments_blu_t<T9>) (6944, 1, 1)x(64, 2, 1)",regular_bluestein_fft,24,4.74,34.74,88.43,46.61,87.73,32.61,,,,jetson_fno_profile_ncu_frontier,fft_transform,True
darcy_large_on421_ts_fp32_ncu,"void scale_conjugate<16>(double2 *, double2 *, unsigned long, double) (1, 1, 1)x(64, 1, 1)",scale_conjugate,9,24.66,0.87,5.95,75.0,63.4,4.11,,,,jetson_fno_profile_ncu_frontier,other,True
darcy_large_on421_ts_fp32_ncu,"void vector_fft<1024, EPT<16>, 1, 7, 70, 0, 2, 0, unsigned int, double>(kernel_arguments_t<T9>) (1, 1, 1)x(64, 1, 1)",vector_fft,9,32.19,8.58,1.53,0.27,33.15,4.16,,,,jetson_fno_profile_ncu_frontier,fft_transform,True
darcy_large_on421_ts_fp32_ncu_sched,"ampere_sgemm_128x64_nn (1465, 1, 1)x(128, 1, 1)",ampere_sgemm_128x64_nn,10,1.72,75.13,63.96,32.92,62.34,32.87,1.76,24.47,5.22,jetson_fno_profile_ncu_sched,dense_math,True
darcy_large_on421_ts_fp32_ncu_sched,"ampere_sgemm_32x128_tn (2, 1385, 1)x(256, 1, 1)",ampere_sgemm_32x128_tn,2,1.21,40.9,39.13,2.91,98.53,63.25,0.8,59.82,18.87,jetson_fno_profile_ncu_sched,dense_math,True
