result_tag,status,failure_class,mode,precision,checkpoint,torchscript,input_bank,batch_size,num_warmup,num_iters,mean_ms,median_ms,p95_ms,p99_ms,peak_cuda_allocated_mb,json
burgers_deeponet_base_r8192_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,4.96900555677712,4.980386991519481,5.250365007668734,5.27484598569572,22.173828125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_eager_bf16_autocast.json
burgers_deeponet_base_r8192_eager_fp16_autocast,success,,eager,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,5.159336871001869,5.1528895273804665,5.393665982410312,5.5247420677915215,22.173828125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_eager_fp16_autocast.json
burgers_deeponet_base_r8192_eager_fp16_native,success,,eager,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,4.8113146959804,4.83046198496595,4.980019060894847,5.01982809510082,18.89892578125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_eager_fp16_native.json
burgers_deeponet_base_r8192_eager_fp32_strict,success,,eager,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,12.305410206317902,12.207831488922238,12.718921061605215,13.120919931679964,28.6064453125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_eager_fp32_strict.json
burgers_deeponet_base_r8192_eager_tf32,success,,eager,tf32,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,5.9287296631373465,5.988262942992151,6.204479024745524,6.233375985175371,28.6064453125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_eager_tf32.json
burgers_deeponet_base_r8192_torchscript_bf16_autocast,success,,torchscript,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r8192_seed0.ts,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,5.5691875563934445,5.5906809866428375,5.90952392667532,6.062970031052828,27.5126953125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_torchscript_bf16_autocast.json
burgers_deeponet_base_r8192_torchscript_fp16_autocast,success,,torchscript,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r8192_seed0.ts,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,5.7749528787098825,5.788703972939402,6.355717079713941,6.468264036811888,27.5126953125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_torchscript_fp16_autocast.json
burgers_deeponet_base_r8192_torchscript_fp16_native,success,,torchscript,fp16_native,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r8192_seed0.ts,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,4.095600501168519,4.126627987716347,4.36943699605763,4.443936049938202,18.86767578125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_torchscript_fp16_native.json
burgers_deeponet_base_r8192_torchscript_fp32_strict,success,,torchscript,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r8192_seed0.ts,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,10.55697773117572,10.544619057327509,10.655903024598956,10.969897964969277,28.5439453125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_torchscript_fp32_strict.json
burgers_deeponet_base_r8192_torchscript_tf32,success,,torchscript,tf32,artifacts/checkpoints/burgers_deeponet_base_r8192_seed0_best.pt,artifacts/torchscript/burgers_deeponet_base_r8192_seed0.ts,artifacts/benchmark_inputs/burgers_r8192_bank.pt,1,20,50,4.984776170458645,5.289517983328551,5.379393114708364,5.433347076177597,28.5439453125,results/jetson_deeponet_precision/burgers_deeponet_base_r8192_torchscript_tf32.json
burgers_deeponet_base_torchscript_bf16_autocast,success,,torchscript,bf16_autocast,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.8848482612520456,1.8740352243185043,2.0015761256217957,2.296178136020899,13.9189453125,results/jetson_deeponet_precision/burgers_deeponet_base_torchscript_bf16_autocast.json
burgers_deeponet_base_torchscript_fp16_autocast,success,,torchscript,fp16_autocast,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.8829480186104774,1.8348339945077896,2.404406201094389,2.6706228964030743,13.9189453125,results/jetson_deeponet_precision/burgers_deeponet_base_torchscript_fp16_autocast.json
burgers_deeponet_base_torchscript_fp16_native,success,,torchscript,fp16_native,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.3048095162957907,1.291870605200529,1.3815541751682758,1.8026567995548248,12.03564453125,results/jetson_deeponet_precision/burgers_deeponet_base_torchscript_fp16_native.json
burgers_deeponet_base_torchscript_fp32_strict,success,,torchscript,fp32_strict,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.7136236280202866,1.7019009683281183,1.7515500076115131,2.131531946361065,14.9267578125,results/jetson_deeponet_precision/burgers_deeponet_base_torchscript_fp32_strict.json
burgers_deeponet_base_torchscript_tf32,success,,torchscript,tf32,artifacts/checkpoints/burgers_deeponet_base_seed2_best.pt,artifacts/torchscript/burgers_deeponet_base_seed2.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,1.2885839026421309,1.2750541791319847,1.3869618996977806,1.7867200076580048,14.9267578125,results/jetson_deeponet_precision/burgers_deeponet_base_torchscript_tf32.json
burgers_deeponet_large_eager_bf16_autocast,success,,eager,bf16_autocast,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,3.530033342540264,3.506845561787486,3.663906827569008,4.249656107276678,26.46728515625,results/jetson_deeponet_precision/burgers_deeponet_large_eager_bf16_autocast.json
burgers_deeponet_large_eager_fp16_autocast,success,,eager,fp16_autocast,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,3.552179951220751,3.4118019975721836,4.419644828885794,5.614888854324818,26.46728515625,results/jetson_deeponet_precision/burgers_deeponet_large_eager_fp16_autocast.json
burgers_deeponet_large_eager_fp16_native,success,,eager,fp16_native,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.826266121119261,2.817909000441432,2.8725508600473404,3.3422959968447685,17.6748046875,results/jetson_deeponet_precision/burgers_deeponet_large_eager_fp16_native.json
burgers_deeponet_large_eager_fp32_strict,success,,eager,fp32_strict,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,5.637913579121232,5.347247235476971,6.469863001257181,9.126214776188135,26.20654296875,results/jetson_deeponet_precision/burgers_deeponet_large_eager_fp32_strict.json
burgers_deeponet_large_eager_tf32,success,,eager,tf32,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,3.102088449522853,3.0670855194330215,3.3385828137397766,3.5134381614625454,26.20654296875,results/jetson_deeponet_precision/burgers_deeponet_large_eager_tf32.json
burgers_deeponet_large_torchscript_bf16_autocast,success,,torchscript,bf16_autocast,artifacts/checkpoints/burgers_deeponet_large_seed3_best.pt,artifacts/torchscript/burgers_deeponet_large_seed3.ts,artifacts/benchmark_inputs/burgers_r2048_bank.pt,1,20,50,2.481876090168953,2.468856517225504,2.5900756008923054,2.885446883738041,25.1826171875,results/jetson_deeponet_precision/burgers_deeponet_large_torchscript_bf16_autocast.json
