08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.187C soc2@61.843C soc0@62.593C gpu@63.343C tj@63.625C soc1@63.625C VDD_IN 11963mW/11839mW VDD_CPU_GPU_CV 4843mW/4774mW VDD_SOC 3103mW/3090mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,9%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 44% cpu@63.125C soc2@61.625C soc0@62.375C gpu@63.562C tj@63.562C soc1@63.406C VDD_IN 11963mW/11842mW VDD_CPU_GPU_CV 4843mW/4776mW VDD_SOC 3103mW/3090mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.125C soc2@61.75C soc0@62.437C gpu@63.406C tj@63.531C soc1@63.531C VDD_IN 11963mW/11844mW VDD_CPU_GPU_CV 4843mW/4777mW VDD_SOC 3103mW/3090mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 44% cpu@63.187C soc2@61.812C soc0@62.437C gpu@63.312C tj@63.593C soc1@63.593C VDD_IN 11963mW/11847mW VDD_CPU_GPU_CV 4843mW/4779mW VDD_SOC 3103mW/3090mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 46% cpu@63.218C soc2@61.843C soc0@62.531C gpu@63.625C tj@63.687C soc1@63.687C VDD_IN 11922mW/11849mW VDD_CPU_GPU_CV 4843mW/4780mW VDD_SOC 3103mW/3091mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.031C soc2@61.812C soc0@62.343C gpu@63.375C tj@63.406C soc1@63.406C VDD_IN 11922mW/11850mW VDD_CPU_GPU_CV 4843mW/4781mW VDD_SOC 3103mW/3091mW
08-04-2026 19:11:08 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,0%@1728,9%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.062C soc2@61.75C soc0@62.343C gpu@63.312C tj@63.5C soc1@63.5C VDD_IN 11922mW/11852mW VDD_CPU_GPU_CV 4843mW/4783mW VDD_SOC 3098mW/3091mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@62.968C soc2@61.75C soc0@62.468C gpu@63.5C tj@63.531C soc1@63.531C VDD_IN 11922mW/11853mW VDD_CPU_GPU_CV 4843mW/4784mW VDD_SOC 3103mW/3091mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,9%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.093C soc2@61.812C soc0@62.593C gpu@63.406C tj@63.593C soc1@63.593C VDD_IN 11922mW/11854mW VDD_CPU_GPU_CV 4843mW/4785mW VDD_SOC 3103mW/3092mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,0%@1728,9%@1728,100%@1728,0%@1728,9%@1728] GR3D_FREQ 48% cpu@63.031C soc2@61.75C soc0@62.281C gpu@63.375C tj@63.406C soc1@63.406C VDD_IN 11963mW/11857mW VDD_CPU_GPU_CV 4843mW/4786mW VDD_SOC 3103mW/3092mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,9%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.125C soc2@61.781C soc0@62.406C gpu@63.5C tj@63.5C soc1@63.5C VDD_IN 11963mW/11859mW VDD_CPU_GPU_CV 4843mW/4787mW VDD_SOC 3103mW/3092mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [9%@1728,16%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 44% cpu@63.093C soc2@61.718C soc0@62.406C gpu@63.375C tj@63.531C soc1@63.531C VDD_IN 11963mW/11861mW VDD_CPU_GPU_CV 4843mW/4788mW VDD_SOC 3103mW/3092mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.062C soc2@61.781C soc0@62.531C gpu@63.343C tj@63.656C soc1@63.656C VDD_IN 11963mW/11863mW VDD_CPU_GPU_CV 4843mW/4789mW VDD_SOC 3103mW/3092mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.5C soc2@61.843C soc0@62.593C gpu@63.531C tj@63.531C soc1@63.437C VDD_IN 11963mW/11864mW VDD_CPU_GPU_CV 4843mW/4790mW VDD_SOC 3103mW/3093mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.156C soc2@61.718C soc0@62.406C gpu@63.468C tj@63.468C soc1@63.375C VDD_IN 11922mW/11865mW VDD_CPU_GPU_CV 4843mW/4791mW VDD_SOC 3103mW/3093mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.062C soc2@61.75C soc0@62.437C gpu@63.375C tj@63.437C soc1@63.437C VDD_IN 11922mW/11866mW VDD_CPU_GPU_CV 4843mW/4792mW VDD_SOC 3103mW/3093mW
08-04-2026 19:11:09 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63C soc2@61.812C soc0@62.437C gpu@63.5C tj@63.593C soc1@63.593C VDD_IN 11922mW/11867mW VDD_CPU_GPU_CV 4843mW/4793mW VDD_SOC 3103mW/3093mW
08-04-2026 19:11:10 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 45% cpu@63.468C soc2@61.812C soc0@62.593C gpu@63.343C tj@63.468C soc1@63.375C VDD_IN 11922mW/11868mW VDD_CPU_GPU_CV 4843mW/4794mW VDD_SOC 3103mW/3093mW
08-04-2026 19:11:10 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 46% cpu@63.156C soc2@61.718C soc0@62.375C gpu@63.343C tj@63.375C soc1@63.375C VDD_IN 11922mW/11869mW VDD_CPU_GPU_CV 4843mW/4795mW VDD_SOC 3103mW/3093mW
08-04-2026 19:11:10 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,63%@1728,0%@1728] GR3D_FREQ 47% cpu@63.156C soc2@61.75C soc0@62.468C gpu@63.406C tj@63.468C soc1@63.468C VDD_IN 12045mW/11872mW VDD_CPU_GPU_CV 4925mW/4797mW VDD_SOC 3098mW/3094mW
08-04-2026 19:11:10 RAM 3778/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 46% cpu@63.093C soc2@61.906C soc0@62.468C gpu@63.375C tj@63.593C soc1@63.593C VDD_IN 12045mW/11875mW VDD_CPU_GPU_CV 4925mW/4799mW VDD_SOC 3098mW/3094mW
08-04-2026 19:11:10 RAM 3779/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [10%@1728,9%@1728,33%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 48% cpu@63.156C soc2@61.875C soc0@62.625C gpu@63.343C tj@63.625C soc1@63.625C VDD_IN 12086mW/11878mW VDD_CPU_GPU_CV 4925mW/4801mW VDD_SOC 3098mW/3094mW
08-04-2026 19:11:10 RAM 3779/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 46% cpu@63.5C soc2@61.687C soc0@62.375C gpu@63.5C tj@63.5C soc1@63.406C VDD_IN 12045mW/11881mW VDD_CPU_GPU_CV 4925mW/4803mW VDD_SOC 3098mW/3094mW
08-04-2026 19:11:10 RAM 3779/7620MB (lfb 32x1MB) SWAP 2162/12002MB (cached 112MB) CPU [0%@1728,0%@1728,0%@1728,100%@1728,0%@1728,0%@1728] GR3D_FREQ 47% cpu@63.125C soc2@61.718C soc0@62.406C gpu@63.343C tj@63.468C soc1@63.468C VDD_IN 12004mW/11883mW VDD_CPU_GPU_CV 4884mW/4804mW VDD_SOC 3098mW/3094mW
